end station id,end station name,end station latitude,end station longitude,end duration mean,end duration sum,end duration count,end year,end type
3268,Lafayette Park,40.71346382669195,-74.06285852193831,1326.6608187134502,226859,171,2020,subs
3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,752.757281553398,232602,309,2020,subs
3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,777.2380952380952,277474,357,2020,subs
3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,977.5711111111111,439907,450,2020,subs
3273,Manila & 1st,40.72165072487999,-74.04288411140442,835.8609271523179,252430,302,2020,subs
3275,Columbus Drive,40.71835519823214,-74.03891444206238,900.378132118451,395266,439,2020,subs
3276,Marin Light Rail,40.71458403535893,-74.04281705617905,1250.6640181611804,1101835,881,2020,subs
3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,1265.6268656716418,84797,67,2020,subs
3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,706.296,176574,250,2020,subs
3279,Dixon Mills,40.72163014263835,-74.04996782541275,562.3059701492538,150698,268,2020,subs
3280,Astor Place,40.71928220070703,-74.07126188278198,823.0671936758894,208236,253,2020,subs
3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,1077.9761904761904,45275,42,2020,subs
3461,Murray St & Greenwich St,40.71485150526252,-74.01122331619263,1723.0,1723,1,2020,subs
3481,York St,40.71649,-74.04105,1093.0977777777778,245947,225,2020,subs
3483,Montgomery St,40.71942,-74.05099,660.3115384615385,171681,260,2020,subs
3578,Park Pl & Franklin Ave,40.67418060000001,-73.95649470000001,14469.0,14469,1,2020,subs
3638,Washington St,40.7242941,-74.0354826,1151.9031578947368,547154,475,2020,subs
3639,Harborside,40.71925170000001,-74.034234,1352.8649289099526,1141818,844,2020,subs
3640,Journal Square,40.733670000000004,-74.0625,751.8495575221239,84959,113,2020,subs
3677,Glenwood Ave,40.72755146730012,-74.07106071710588,1126.9871794871794,175810,156,2020,subs
3678,Fairmount Ave,40.72572613742557,-74.07195925712584,731.8839779005525,132471,181,2020,subs
3679,Bergen Ave,40.72210378668603,-74.07145500183104,572.1565217391304,131596,230,2020,subs
3681,Grand St,40.71517767732029,-74.03768330812454,890.9825072886298,305607,343,2020,subs
3694,Jackson Square,40.71113,-74.0789,1382.8870967741937,85739,62,2020,subs
3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,1665.0694444444443,359655,216,2020,subs
3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,1093.222049689441,704035,644,2020,subs
3992,W 169 St & Fort Washington Ave,40.8428422,-73.9421253,6102.0,12204,2,2020,subs
383,Greenwich Ave & Charles St,40.735238,-74.000271,1904.0,1904,1,2019,cust
426,West St & Chambers St,40.71754834,-74.01322069,10327.0,10327,1,2019,cust
504,1 Ave & E 16 St,40.73221853,-73.98165557,8850.0,8850,1,2019,cust
3002,South End Ave & Liberty St,40.711512,-74.01575600000001,5890.5,11781,2,2019,cust
3167,Amsterdam Ave & W 73 St,40.779668090073116,-73.98093044757842,10829.5,21659,2,2019,cust
3184,Paulus Hook,40.7141454,-74.0335519,2476.6930379746836,782635,316,2019,cust
